team_name,session_number,date,day,topic,subtitle,details
소통의기술,1,12월 6일,토,정보-전달 시각화 1,"멤버들과의 자기소개에서 정보-전달의 기본 특성을 이해하고, 정보-전달의 어려움을 시각화합니다. 어렵게 된 원인을 발견합니다.",
소통의기술,2,12월 20일,토,정보-전달 시각화 2,정보-전달이 잘되는 말의 구조를 배우고 실제 내 상황에 접목하여 시각화합니다.,
소통의기술,3,1월 3일,토,지시-보고 시각화 1,"입말과 듣는 말의 차이를 알고, ‘지시-보고’의 흐름을 감각기관과 접목하여 시각화합니다.",
소통의기술,4,1월 17일,토,지시-보고 시각화 2,변수로 발생할 수 있는 상황을 탐색하고 ‘지시-보고’ 과정에서의 해결 포인트를 시각화합니다.,
소통의기술,5,1월 31일,토,미팅-협상 시각화 1,다자간의 대화 속에서 ‘미팅-협상’ 이해관계자들의 득과 실을 시각화합니다.,
소통의기술,6,2월 21일,토,미팅-협상 시각화 2,간단한 도형과 기호를 활용하여 ‘미팅-협상’의 다양한 상황을 시각화합니다.,
시니어탐구,1,12월 14일,일,Onboarding & Intention Setting,"시니어 시장의 현황을 이해합니다. 각자가 가진 고민과 기대를 나누고, 이번 시즌동안 디벨롭할 각자의 목표와 방향을 정합니다.",
시니어탐구,2,12월 21일,일,Perspective Framing,"‘뉴 시니어’를 이해하기 위한 관점의 틀을 마련하여, 변화하는 시니어의 니즈를 파악하는데 적합한 기준을 마련합니다.",
시니어탐구,3,1월 11일,일,Re-Definition,시니어를 연령이나 이미지가 아닌 삶의 태도와 가치를 기준으로 다시 정의해봅니다.,
시니어탐구,4,1월 25일,일,Insight Research,"소비와 취향의 단서를 들여다보며, 삶의 가치가 어떻게 달라지고 있는지를 포착합니다.",
시니어탐구,5,2월 8일,일,Concept & Strategy Modeling,발견한 가치의 흐름을 바탕으로 각자가 목표하는 비즈니스 컨셉과 전략적 방향을 조정하고 구체화합니다.,
시니어탐구,6,3월 1일,일,Proposal & Debriefing,"각자의 비즈니스 기획안을 공유하고, 서로의 사고 과정과 배운 점을 되짚는 디브리핑으로 경험을 내재화합니다.",
영화로운일,1,12월 12일,금,영화 <에브리씽 에브리웨어 올앳원스>,"- 우리는 지금 어떤 세계에서 어떤 인물을 만들어가고 있습니까. 각자의 세계에서, 각자의 일터에서 서로의 나다움을 이야기하는 시간으로 <영화로운일>테마를 열어 볼게요.",
영화로운일,2,12월 26일,금,영화 <오펜하이머>,"- 인류사를 바꾼 프로젝트와 그 뒤의 인간에게 오는 일종의 파국을 함께 경험하는 체험 속에서 우리가 일하는 방식과 일의 의미, 그리고 무엇을 향해 나아가는지 이야기 나눠보겠습니다.",
영화로운일,3,1월 9일,금,영화 <소셜 네트워크>,"- 새로운 사회적 관계를 만든 사람들의 사회적 관계가 어떻게 무너지는지를 보며 과연 사업은 이렇게 될 수밖에 없을지, 다른 식의 대안은 없을지 고민하는 시간이 될 것입니다.",
영화로운일,4,1월 23일,금,영화 <위플래쉬>,- 일종의 광기로 달려가는 두 사람. 무엇이 그들을 집착하게 만들었을까요. 이 영화의 결말은 무엇을 말하는 걸까요. 자기 일의 최선이라는 건 무슨 의미일까요. 끝까지 밀어붙이는 걸작과 함께 우리 일의 템포를 이야기해봅시다.,
영화로운일,5,2월 6일,금,영화 <어퓨굿맨>,- 법정 영화의 고전. 과연 우리는 조직에서 나 자신으로 남을 수 있을까. 조직의 권력과 개인의 자유가 부딪히는 이야기 속에서 우리는 과연 어떤 선택을 하게 될까요.,
영화로운일,6,2월 20일,금,영화 <악마는 프라다를 입는다>,"- 화려하면서 아름답게 성장하는 주인공의 서사 속에서 우리의 지금이, 그리고 내일이 어떤 성장으로 나아갈지 기대하며 마무리하겠습니다. (물론 이 영화도 참 할 이야기가 많죠)",
전략가의일,1,12월 16일,화,The Seven-Step Problem Solving Part I,문제 정의 및 구조화하기,
전략가의일,2,12월 30일,화,The Seven-Step Problem Solving Part II,"가설적 접근법 및 분석, 권고안 도출, Top-down 커뮤니케이션 롤플레잉",
전략가의일,3,1월 13일,화,국내 식품회사 Turnaround 전략 Case,주요 이슈 도출 및 가설 검증 Approach 논의,
전략가의일,4,1월 27일,화,국내 소비재社 Turnaround 전략 Case I,주요 이슈 도출 및 우선 순위화,
전략가의일,5,2월 10일,화,국내 소비재社 Turnaround 전략 Case II,"포트폴리오 옵션 논의, 주요 개선 과제 도출",
전략가의일,6,3월 3일,화,Wrap-up,"효율적인 팀 운영, 변화 관리, 피드백",
테스트,1,12월 9일,화,협상의 기본기 I – 원칙과 프레임 잡기,"워크숍은 협상이란 무엇인지, 그리고 협상의 전반적인 구조를 이해하는 것에서 시작합니다. 협상 모델, ZOPA(협상 가능 지대), BATNA(최선의 대안)의 개념을 학습합니다. 이를 위해 방송 라이선스 협상 사례를 활용한 협상 시뮬레이션을 통해 실제로 프레임을 설정하고, 상대와의 기준점을 설정해보는 경험을 제공합니다.",
테스트,2,12월 23일,화,협상의 기본기 II – 전술과 전략적 준비,"두 번째 회차에서는 협상에서 어떤 전술들이 사용되는지 집중적으로 다룹니다. 정보의 비대칭성, 앵커링, 패키지 딜, 교환 전략 등의 전술을 살펴보고, 협상 전에 무엇을 어떻게 준비해야 하는지를 학습합니다. 1:1 협상 롤플레이를 통해 전략적 준비와 즉흥적 대응 사이의 균형을 경험합니다.",
테스트,3,1월 6일,화,감정과 정체성 I – 협상의 심리학,"세 번째 회차부터는 ‘인간’ 중심의 협상으로 초점이 이동합니다. 특히 협상에서 감정은 어떻게 작동하는지, ‘존중받고자 하는 욕구’나 ‘위협감’이 협상에 어떤 영향을 미치는지 탐구합니다. 사내 승진 협상 시뮬레이션을 통해, 갈등의 본질이 단순한 조건의 차이가 아니라 인정 욕구와 위계, 감정의 충돌에서 비롯된다는 점을 탐색합니다.",
테스트,4,1월 20일,화,감정과 정체성 II – 리프레이밍과 내러티브 전환,"이번 회차에서는 정체성의 위협을 감지하고, 그것을 리프레이밍하는 전략에 집중합니다. 협상은 서사와 역할의 전환임을 인식하면서, 협상장에서 흔히 발생하는 ‘내가 무시당하고 있다’는 감정의 발생 구조를 분석합니다. 멤버들은 자신의 내러티브를 다양한 방향으로 활용하는 연습을 합니다.",
테스트,5,2월 3일,화,사회적 갈등 I – 구조적 갈등과 이해관계,"다섯 번째 회차부터는 협상의 규모가 커집니다. 복수의 당사자가 얽힌 사회적 갈등 상황 등 다층적 이해관계자들이 있는 상황을 다룹니다. 갈등의 구조를 분석하고, 이해관계자 맵을 작성하며, 구조적 설계의 관점을 학습합니다. 한미 관세 협상을 사례로, 실질적인 힘의 배치와 제도 설계의 협상 전략을 분석합니다.",
테스트,6,2월 10일,화,사회적 갈등 II – 거시 전략과 중재자의 역할,"마지막 회차는 분쟁 상황의 프레임을 바꾸고, 정당성의 경쟁을 어떻게 조율할 수 있는지, 내러티브 전환과 갈등의 재구성이 어떻게 가능한지를 탐구합니다. 복수 당사자가 참여하는 3자 협상 시뮬레이션을 통해, 갈등의 언어를 바꾸는 ‘거시 전략’의 감각을 익히게 됩니다. 갈등을 설계자로서 역할을 학습합니다.",
팀장의숫자,1,12월 15일,월,"숫자, 팀장의 언어가 되다",- 숫자로 말하는 리더십,회계 vs 재무 vs 경영관리의 차이 | 팀의 성과를 ‘감’이 아닌 ‘지표’로 관리하기 | 숫자가 말해주는 조직의 건강상태
팀장의숫자,2,12월 22일,월,네트워킹,- 서로의 고민 공유 및 디너,
팀장의숫자,3,12월 29일,월,손익의 감각: 팀의 수익구조 읽기 (P&L 이해하기),- 회사의 체력은 어디서 드러나는가,"팀장 입장에서 알아야 할 B/S 핵심 포인트 | 투자와 비용의 구분, 현금흐름의 본질 | 건전한 재무구조를 위한 팀 단위 실행"
팀장의숫자,4,1월 12일,월,밸런스의 감각: 재무상태표로 조직을 읽다,"- 매출, 이익, 마진의 진짜 의미",팀 단위 손익(P&L) 보는 법 | KPI 설계와 연결된 수익지표 관리 | ‘좋은 매출’과 ‘나쁜 매출’을 구분하는 기준
팀장의숫자,5,1월 26일,월,의사결정의 감각: 예산과 투자 판단의 기술,- 예산 편성과 ROI(투자대비효과) 계산법,"비용절감보다 중요한 자원배분의 논리 | 기회비용, 한계효용, NPV 등 실무적 재무감각 | ‘감’ 대신 ‘데이터’로 설득하기"
팀장의숫자,6,2월 9일,월,숫자로 말하는 리더십: 보고와 스토리텔링,- 팀 성과를 수치로 표현하는 법,"재무지표와 비재무지표의 연결 | KPI/OKR, 북극성 지표 정립하기 | 리더의 '보고서 문장력' 과 '숫자 설득력'"
